Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6m20_pfHt1_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-15.1,0,0
pre_6m20_pfHt1_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-12.1,0,0
pre_6m20_pfHt1_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-10.9,0,0
pre_6m20_pfHt1_Compound_46_uff_E=924.43_uff_E=805.09,-8.8,0,0
pre_6m20_pfHt1_Compound_51_uff_E=434.15_uff_E=434.06,-8.6,0,0
pre_6m20_pfHt1_Compound_4_uff_E=1557.68_uff_E=1442.13,-8.5,0,0
pre_6m20_pfHt1_Compound_164_uff_E=876.95_uff_E=875.70,-8.4,0,0
pre_6m20_pfHt1_Compound_249_uff_E=397.17_uff_E=382.39,-8.4,0,0
pre_6m20_pfHt1_Compound_26_uff_E=582.48_uff_E=569.13,-8.4,0,0
pre_6m20_pfHt1_Compound_382_uff_E=539.57_uff_E=510.25,-8.4,0,0
pre_6m20_pfHt1_Compound_62_uff_E=401.25_uff_E=376.74,-8.4,0,0
pre_6m20_pfHt1_Compound_254_uff_E=521.47_uff_E=475.94,-8.3,0,0
pre_6m20_pfHt1_Compound_265_uff_E=616.89_uff_E=612.96,-8.3,0,0
pre_6m20_pfHt1_Compound_313_uff_E=514.15_uff_E=514.07,-8.3,0,0
pre_6m20_pfHt1_Compound_346_uff_E=1551.35_uff_E=1545.02,-8.3,0,0
pre_6m20_pfHt1_Compound_372_uff_E=804.57_uff_E=677.90,-8.3,0,0
pre_6m20_pfHt1_Compound_5_uff_E=645.33_uff_E=567.58,-8.3,0,0
pre_6m20_pfHt1_Compound_139_uff_E=286.36_uff_E=286.05,-8.2,0,0
pre_6m20_pfHt1_Compound_386_uff_E=736.53_uff_E=685.51,-8.2,0,0
pre_6m20_pfHt1_Compound_391_uff_E=503.32_uff_E=494.72,-8.2,0,0
pre_6m20_pfHt1_Compound_75_uff_E=602.39_uff_E=578.78,-8.2,0,0
pre_6m20_pfHt1_Compound_100_uff_E=653.94_uff_E=653.75,-8.1,0,0
pre_6m20_pfHt1_Compound_274_uff_E=380.65_uff_E=303.10,-8.1,0,0
pre_6m20_pfHt1_Compound_278_uff_E=596.47_uff_E=544.70,-8.1,0,0
pre_6m20_pfHt1_Compound_116_uff_E=963.32_uff_E=963.22,-8,0,0
pre_6m20_pfHt1_Compound_158_uff_E=511.91_uff_E=490.38,-8,0,0
pre_6m20_pfHt1_Compound_22_uff_E=370.53_uff_E=370.46,-8,0,0
pre_6m20_pfHt1_Compound_230_uff_E=665.84_uff_E=650.05,-8,0,0
pre_6m20_pfHt1_Compound_328_uff_E=280.79_uff_E=271.15,-8,0,0
pre_6m20_pfHt1_Compound_354_uff_E=737.88_uff_E=683.70,-8,0,0
pre_6m20_pfHt1_Compound_267_uff_E=665.24_uff_E=565.24,-7.9,0,0
pre_6m20_pfHt1_Compound_332_uff_E=571.51_uff_E=571.27,-7.9,0,0
pre_6m20_pfHt1_Compound_348_uff_E=1383.67_uff_E=439.80,-7.9,0,0
pre_6m20_pfHt1_Compound_359_uff_E=369.43_uff_E=326.00,-7.9,0,0
pre_6m20_pfHt1_Compound_89_uff_E=353.24_uff_E=331.78,-7.9,0,0
pre_6m20_pfHt1_Compound_182_uff_E=378.22_uff_E=336.98,-7.8,0,0
pre_6m20_pfHt1_Compound_56_uff_E=745.41_uff_E=745.31,-7.8,0,0
pre_6m20_pfHt1_Compound_7_uff_E=562.49_uff_E=553.12,-7.8,0,0
pre_6m20_pfHt1_Compound_83_uff_E=426.01_uff_E=387.66,-7.8,0,0
pre_6m20_pfHt1_Compound_97_uff_E=397.94_uff_E=272.03,-7.8,0,0
pre_6m20_pfHt1_Compound_150_uff_E=1347.46_uff_E=1347.26,-7.7,0,0
pre_6m20_pfHt1_Compound_268_uff_E=1674.24_uff_E=1666.53,-7.7,0,0
pre_6m20_pfHt1_Compound_292_uff_E=429.36_uff_E=428.95,-7.7,0,0
pre_6m20_pfHt1_Compound_370_uff_E=493.50_uff_E=491.54,-7.7,0,0
pre_6m20_pfHt1_Compound_40_uff_E=648.16_uff_E=647.94,-7.7,0,0
pre_6m20_pfHt1_Compound_53_uff_E=381.21_uff_E=380.35,-7.7,0,0
pre_6m20_pfHt1_Compound_69_uff_E=2036.42_uff_E=2034.73,-7.7,0,0
pre_6m20_pfHt1_Compound_140_uff_E=640.24_uff_E=640.15,-7.6,0,0
pre_6m20_pfHt1_Compound_151_uff_E=808.24_uff_E=808.23,-7.6,0,0
pre_6m20_pfHt1_Compound_190_uff_E=589.53_uff_E=516.41,-7.6,0,0
pre_6m20_pfHt1_Compound_222_uff_E=875.40_uff_E=874.53,-7.6,0,0
pre_6m20_pfHt1_Compound_250_uff_E=358.28_uff_E=357.60,-7.6,0,0
pre_6m20_pfHt1_Compound_27_uff_E=513.73_uff_E=510.51,-7.6,0,0
pre_6m20_pfHt1_Compound_324_uff_E=1699.37_uff_E=1658.10,-7.6,0,0
pre_6m20_pfHt1_Compound_325_uff_E=662.66_uff_E=662.57,-7.6,0,0
pre_6m20_pfHt1_Compound_342_uff_E=641.82_uff_E=641.73,-7.6,0,0
pre_6m20_pfHt1_Compound_353_uff_E=479.22_uff_E=457.90,-7.6,0,0
pre_6m20_pfHt1_Compound_365_uff_E=503.30_uff_E=491.21,-7.6,0,0
pre_6m20_pfHt1_Compound_377_uff_E=1372.30_uff_E=879.26,-7.6,0,0
pre_6m20_pfHt1_Compound_380_uff_E=1639.65_uff_E=1608.74,-7.6,0,0
pre_6m20_pfHt1_Compound_57_uff_E=1302.98_uff_E=1302.76,-7.6,0,0
pre_6m20_pfHt1_Compound_130_uff_E=730.32_uff_E=730.00,-7.5,0,0
pre_6m20_pfHt1_Compound_137_uff_E=1496.87_uff_E=1433.43,-7.5,0,0
pre_6m20_pfHt1_Compound_14_uff_E=957.90_uff_E=957.85,-7.5,0,0
pre_6m20_pfHt1_Compound_169_uff_E=528.06_uff_E=449.08,-7.5,0,0
pre_6m20_pfHt1_Compound_183_uff_E=569.58_uff_E=541.82,-7.5,0,0
pre_6m20_pfHt1_Compound_205_uff_E=588.81_uff_E=588.72,-7.5,0,0
pre_6m20_pfHt1_Compound_220_uff_E=1144.93_uff_E=1027.92,-7.5,0,0
pre_6m20_pfHt1_Compound_227_uff_E=254.18_uff_E=240.72,-7.5,0,0
pre_6m20_pfHt1_Compound_283_uff_E=994.47_uff_E=866.59,-7.5,0,0
pre_6m20_pfHt1_Compound_304_uff_E=370.96_uff_E=349.00,-7.5,0,0
pre_6m20_pfHt1_Compound_334_uff_E=1078.14_uff_E=1001.68,-7.5,0,0
pre_6m20_pfHt1_Compound_347_uff_E=561.14_uff_E=560.69,-7.5,0,0
pre_6m20_pfHt1_Compound_61_uff_E=499.30_uff_E=480.30,-7.5,0,0
pre_6m20_pfHt1_Compound_65_uff_E=239.89_uff_E=239.65,-7.5,0,0
pre_6m20_pfHt1_Compound_13_uff_E=540.33_uff_E=536.08,-7.4,0,0
pre_6m20_pfHt1_Compound_132_uff_E=440.37_uff_E=423.24,-7.4,0,0
pre_6m20_pfHt1_Compound_187_uff_E=643.53_uff_E=643.43,-7.4,0,0
pre_6m20_pfHt1_Compound_194_uff_E=466.90_uff_E=450.84,-7.4,0,0
pre_6m20_pfHt1_Compound_196_uff_E=352.64_uff_E=350.98,-7.4,0,0
pre_6m20_pfHt1_Compound_197_uff_E=265.00_uff_E=264.90,-7.4,0,0
pre_6m20_pfHt1_Compound_208_uff_E=642.04_uff_E=637.39,-7.4,0,0
pre_6m20_pfHt1_Compound_209_uff_E=445.06_uff_E=444.96,-7.4,0,0
pre_6m20_pfHt1_Compound_214_uff_E=844.94_uff_E=827.47,-7.4,0,0
pre_6m20_pfHt1_Compound_228_uff_E=772.80_uff_E=772.70,-7.4,0,0
pre_6m20_pfHt1_Compound_241_uff_E=819.56_uff_E=819.35,-7.4,0,0
pre_6m20_pfHt1_Compound_262_uff_E=639.72_uff_E=639.62,-7.4,0,0
pre_6m20_pfHt1_Compound_263_uff_E=462.95_uff_E=461.34,-7.4,0,0
pre_6m20_pfHt1_Compound_303_uff_E=571.28_uff_E=571.21,-7.4,0,0
pre_6m20_pfHt1_Compound_318_uff_E=630.93_uff_E=620.29,-7.4,0,0
pre_6m20_pfHt1_Compound_335_uff_E=396.79_uff_E=396.69,-7.4,0,0
pre_6m20_pfHt1_Compound_344_uff_E=189.36_uff_E=189.15,-7.4,0,0
pre_6m20_pfHt1_Compound_74_uff_E=615.24_uff_E=615.14,-7.4,0,0
pre_6m20_pfHt1_Compound_113_uff_E=432.02_uff_E=385.54,-7.3,0,0
pre_6m20_pfHt1_Compound_127_uff_E=352.93_uff_E=352.73,-7.3,0,0
pre_6m20_pfHt1_Compound_286_uff_E=386.68_uff_E=385.49,-7.3,0,0
pre_6m20_pfHt1_Compound_294_uff_E=623.17_uff_E=592.73,-7.3,0,0
pre_6m20_pfHt1_Compound_321_uff_E=532.08_uff_E=456.48,-7.3,0,0
pre_6m20_pfHt1_Compound_341_uff_E=554.01_uff_E=553.92,-7.3,0,0
pre_6m20_pfHt1_Compound_357_uff_E=159.56_uff_E=159.47,-7.3,0,0
pre_6m20_pfHt1_Compound_363_uff_E=796.24_uff_E=737.72,-7.3,0,0
pre_6m20_pfHt1_Compound_369_uff_E=536.27_uff_E=509.29,-7.3,0,0
pre_6m20_pfHt1_Compound_376_uff_E=999.75_uff_E=865.08,-7.3,0,0
pre_6m20_pfHt1_Compound_378_uff_E=644.43_uff_E=644.34,-7.3,0,0
pre_6m20_pfHt1_Compound_388_uff_E=378.37_uff_E=378.27,-7.3,0,0
pre_6m20_pfHt1_Compound_6_uff_E=973.23_uff_E=927.64,-7.3,0,0
pre_6m20_pfHt1_Compound_91_uff_E=210.74_uff_E=210.37,-7.3,0,0
pre_6m20_pfHt1_Compound_92_uff_E=752.19_uff_E=743.24,-7.3,0,0
pre_6m20_pfHt1_Compound_93_uff_E=559.07_uff_E=559.02,-7.3,0,0
pre_6m20_pfHt1_Compound_94_uff_E=509.84_uff_E=509.60,-7.3,0,0
pre_6m20_pfHt1_Compound_99_uff_E=471.81_uff_E=471.39,-7.3,0,0
pre_6m20_pfHt1_Compound_120_uff_E=1670.87_uff_E=1517.96,-7.2,0,0
pre_6m20_pfHt1_Compound_141_uff_E=915.22_uff_E=915.12,-7.2,0,0
pre_6m20_pfHt1_Compound_146_uff_E=233.09_uff_E=233.01,-7.2,0,0
pre_6m20_pfHt1_Compound_148_uff_E=159.01_uff_E=158.81,-7.2,0,0
pre_6m20_pfHt1_Compound_170_uff_E=499.67_uff_E=456.84,-7.2,0,0
pre_6m20_pfHt1_Compound_191_uff_E=380.53_uff_E=380.43,-7.2,0,0
pre_6m20_pfHt1_Compound_211_uff_E=542.97_uff_E=542.87,-7.2,0,0
pre_6m20_pfHt1_Compound_255_uff_E=312.61_uff_E=312.52,-7.2,0,0
pre_6m20_pfHt1_Compound_336_uff_E=485.25_uff_E=479.79,-7.2,0,0
pre_6m20_pfHt1_Compound_338_uff_E=713.29_uff_E=712.96,-7.2,0,0
pre_6m20_pfHt1_Compound_361_uff_E=449.52_uff_E=447.14,-7.2,0,0
pre_6m20_pfHt1_Compound_374_uff_E=350.84_uff_E=299.51,-7.2,0,0
pre_6m20_pfHt1_Compound_379_uff_E=1283.77_uff_E=1283.17,-7.2,0,0
pre_6m20_pfHt1_Compound_381_uff_E=788.92_uff_E=782.47,-7.2,0,0
pre_6m20_pfHt1_Compound_42_uff_E=252.48_uff_E=252.39,-7.2,0,0
pre_6m20_pfHt1_Compound_47_uff_E=362.87_uff_E=361.92,-7.2,0,0
pre_6m20_pfHt1_Compound_54_uff_E=680.44_uff_E=680.24,-7.2,0,0
pre_6m20_pfHt1_Compound_145_uff_E=437.63_uff_E=414.42,-7.1,0,0
pre_6m20_pfHt1_Compound_172_uff_E=294.16_uff_E=292.17,-7.1,0,0
pre_6m20_pfHt1_Compound_175_uff_E=2539.21_uff_E=2537.25,-7.1,0,0
pre_6m20_pfHt1_Compound_186_uff_E=389.76_uff_E=389.67,-7.1,0,0
pre_6m20_pfHt1_Compound_207_uff_E=869.12_uff_E=789.60,-7.1,0,0
pre_6m20_pfHt1_Compound_240_uff_E=443.94_uff_E=443.84,-7.1,0,0
pre_6m20_pfHt1_Compound_252_uff_E=299.67_uff_E=299.57,-7.1,0,0
pre_6m20_pfHt1_Compound_285_uff_E=507.78_uff_E=486.31,-7.1,0,0
pre_6m20_pfHt1_Compound_29_uff_E=334.87_uff_E=334.64,-7.1,0,0
pre_6m20_pfHt1_Compound_339_uff_E=1547.75_uff_E=1510.80,-7.1,0,0
pre_6m20_pfHt1_Compound_35_uff_E=269.58_uff_E=269.48,-7.1,0,0
pre_6m20_pfHt1_Compound_384_uff_E=741.77_uff_E=741.55,-7.1,0,0
pre_6m20_pfHt1_Compound_389_uff_E=406.60_uff_E=406.25,-7.1,0,0
pre_6m20_pfHt1_Compound_390_uff_E=641.37_uff_E=570.90,-7.1,0,0
pre_6m20_pfHt1_Compound_66_uff_E=433.80_uff_E=431.26,-7.1,0,0
pre_6m20_pfHt1_Compound_67_uff_E=325.95_uff_E=325.72,-7.1,0,0
