Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_6dsr_ompdc_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-16.9,0,0
pre_6dsr_ompdc_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-14.1,0,0
pre_6dsr_ompdc_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-13,0,0
pre_6dsr_ompdc_Compound_382_uff_E=539.57_uff_E=510.25,-9.6,0,0
pre_6dsr_ompdc_Compound_348_uff_E=1383.67_uff_E=439.80,-9.5,0,0
pre_6dsr_ompdc_Compound_75_uff_E=602.39_uff_E=578.78,-9.3,0,0
pre_6dsr_ompdc_Compound_139_uff_E=286.36_uff_E=286.05,-9.2,0,0
pre_6dsr_ompdc_Compound_26_uff_E=582.48_uff_E=569.13,-9.2,0,0
pre_6dsr_ompdc_Compound_130_uff_E=730.32_uff_E=730.00,-9.1,0,0
pre_6dsr_ompdc_Compound_250_uff_E=358.28_uff_E=357.60,-9,0,0
pre_6dsr_ompdc_Compound_278_uff_E=596.47_uff_E=544.70,-9,0,0
pre_6dsr_ompdc_Compound_186_uff_E=389.76_uff_E=389.67,-8.9,0,0
pre_6dsr_ompdc_Compound_247_uff_E=400.34_uff_E=399.62,-8.9,0,0
pre_6dsr_ompdc_Compound_265_uff_E=616.89_uff_E=612.96,-8.9,0,0
pre_6dsr_ompdc_Compound_354_uff_E=737.88_uff_E=683.70,-8.9,0,0
pre_6dsr_ompdc_Compound_51_uff_E=434.15_uff_E=434.06,-8.9,0,0
pre_6dsr_ompdc_Compound_91_uff_E=210.74_uff_E=210.37,-8.9,0,0
pre_6dsr_ompdc_Compound_116_uff_E=963.32_uff_E=963.22,-8.8,0,0
pre_6dsr_ompdc_Compound_148_uff_E=159.01_uff_E=158.81,-8.8,0,0
pre_6dsr_ompdc_Compound_167_uff_E=470.00_uff_E=469.92,-8.8,0,0
pre_6dsr_ompdc_Compound_197_uff_E=265.00_uff_E=264.90,-8.8,0,0
pre_6dsr_ompdc_Compound_22_uff_E=370.53_uff_E=370.46,-8.8,0,0
pre_6dsr_ompdc_Compound_241_uff_E=819.56_uff_E=819.35,-8.8,0,0
pre_6dsr_ompdc_Compound_377_uff_E=1372.30_uff_E=879.26,-8.8,0,0
pre_6dsr_ompdc_Compound_138_uff_E=647.19_uff_E=632.98,-8.7,0,0
pre_6dsr_ompdc_Compound_150_uff_E=1347.46_uff_E=1347.26,-8.7,0,0
pre_6dsr_ompdc_Compound_165_uff_E=629.88_uff_E=587.21,-8.7,0,0
pre_6dsr_ompdc_Compound_174_uff_E=290.06_uff_E=289.97,-8.7,0,0
pre_6dsr_ompdc_Compound_321_uff_E=532.08_uff_E=456.48,-8.7,0,0
pre_6dsr_ompdc_Compound_359_uff_E=369.43_uff_E=326.00,-8.7,0,0
pre_6dsr_ompdc_Compound_369_uff_E=536.27_uff_E=509.29,-8.7,0,0
pre_6dsr_ompdc_Compound_127_uff_E=352.93_uff_E=352.73,-8.6,0,0
pre_6dsr_ompdc_Compound_14_uff_E=957.90_uff_E=957.85,-8.6,0,0
pre_6dsr_ompdc_Compound_183_uff_E=569.58_uff_E=541.82,-8.6,0,0
pre_6dsr_ompdc_Compound_227_uff_E=254.18_uff_E=240.72,-8.6,0,0
pre_6dsr_ompdc_Compound_328_uff_E=280.79_uff_E=271.15,-8.6,0,0
pre_6dsr_ompdc_Compound_346_uff_E=1551.35_uff_E=1545.02,-8.6,0,0
pre_6dsr_ompdc_Compound_347_uff_E=561.14_uff_E=560.69,-8.6,0,0
pre_6dsr_ompdc_Compound_370_uff_E=493.50_uff_E=491.54,-8.6,0,0
pre_6dsr_ompdc_Compound_56_uff_E=745.41_uff_E=745.31,-8.6,0,0
pre_6dsr_ompdc_Compound_92_uff_E=752.19_uff_E=743.24,-8.6,0,0
pre_6dsr_ompdc_Compound_231_uff_E=215.18_uff_E=215.11,-8.5,0,0
pre_6dsr_ompdc_Compound_249_uff_E=397.17_uff_E=382.39,-8.5,0,0
pre_6dsr_ompdc_Compound_27_uff_E=513.73_uff_E=510.51,-8.5,0,0
pre_6dsr_ompdc_Compound_29_uff_E=334.87_uff_E=334.64,-8.5,0,0
pre_6dsr_ompdc_Compound_374_uff_E=350.84_uff_E=299.51,-8.5,0,0
pre_6dsr_ompdc_Compound_386_uff_E=736.53_uff_E=685.51,-8.5,0,0
pre_6dsr_ompdc_Compound_46_uff_E=924.43_uff_E=805.09,-8.5,0,0
pre_6dsr_ompdc_Compound_158_uff_E=511.91_uff_E=490.38,-8.4,0,0
pre_6dsr_ompdc_Compound_164_uff_E=876.95_uff_E=875.70,-8.4,0,0
pre_6dsr_ompdc_Compound_191_uff_E=380.53_uff_E=380.43,-8.4,0,0
pre_6dsr_ompdc_Compound_196_uff_E=352.64_uff_E=350.98,-8.4,0,0
pre_6dsr_ompdc_Compound_230_uff_E=665.84_uff_E=650.05,-8.4,0,0
pre_6dsr_ompdc_Compound_262_uff_E=639.72_uff_E=639.62,-8.4,0,0
pre_6dsr_ompdc_Compound_304_uff_E=370.96_uff_E=349.00,-8.4,0,0
pre_6dsr_ompdc_Compound_332_uff_E=571.51_uff_E=571.27,-8.4,0,0
pre_6dsr_ompdc_Compound_342_uff_E=641.82_uff_E=641.73,-8.4,0,0
pre_6dsr_ompdc_Compound_365_uff_E=503.30_uff_E=491.21,-8.4,0,0
pre_6dsr_ompdc_Compound_40_uff_E=648.16_uff_E=647.94,-8.4,0,0
