Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_3k60_pfhsp90_Compound_72_uff_E=408963200079.07_uff_E=408963200079.07,-17.2,0,0
pre_3k60_pfhsp90_Compound_350_uff_E=4771149567349542900.00_uff_E=4771149567349542900.00,-13.5,0,0
pre_3k60_pfhsp90_Compound_392_uff_E=371808022.09_uff_E=371808022.09,-12.3,0,0
pre_3k60_pfhsp90_Compound_139_uff_E=286.36_uff_E=286.05,-10.2,0,0
pre_3k60_pfhsp90_Compound_164_uff_E=876.95_uff_E=875.70,-10.2,0,0
pre_3k60_pfhsp90_Compound_336_uff_E=485.25_uff_E=479.79,-10.2,0,0
pre_3k60_pfhsp90_Compound_386_uff_E=736.53_uff_E=685.51,-9.8,0,0
pre_3k60_pfhsp90_Compound_130_uff_E=730.32_uff_E=730.00,-9.7,0,0
pre_3k60_pfhsp90_Compound_382_uff_E=539.57_uff_E=510.25,-9.6,0,0
pre_3k60_pfhsp90_Compound_183_uff_E=569.58_uff_E=541.82,-9.5,0,0
pre_3k60_pfhsp90_Compound_46_uff_E=924.43_uff_E=805.09,-9.5,0,0
pre_3k60_pfhsp90_Compound_62_uff_E=401.25_uff_E=376.74,-9.5,0,0
pre_3k60_pfhsp90_Compound_92_uff_E=752.19_uff_E=743.24,-9.5,0,0
pre_3k60_pfhsp90_Compound_313_uff_E=514.15_uff_E=514.07,-9.4,0,0
pre_3k60_pfhsp90_Compound_6_uff_E=973.23_uff_E=927.64,-9.4,0,0
pre_3k60_pfhsp90_Compound_220_uff_E=1144.93_uff_E=1027.92,-9.3,0,0
pre_3k60_pfhsp90_Compound_249_uff_E=397.17_uff_E=382.39,-9.3,0,0
pre_3k60_pfhsp90_Compound_379_uff_E=1283.77_uff_E=1283.17,-9.3,0,0
pre_3k60_pfhsp90_Compound_40_uff_E=648.16_uff_E=647.94,-9.3,0,0
pre_3k60_pfhsp90_Compound_75_uff_E=602.39_uff_E=578.78,-9.3,0,0
pre_3k60_pfhsp90_Compound_196_uff_E=352.64_uff_E=350.98,-9.2,0,0
pre_3k60_pfhsp90_Compound_265_uff_E=616.89_uff_E=612.96,-9.2,0,0
pre_3k60_pfhsp90_Compound_182_uff_E=378.22_uff_E=336.98,-9.1,0,0
pre_3k60_pfhsp90_Compound_26_uff_E=582.48_uff_E=569.13,-9.1,0,0
pre_3k60_pfhsp90_Compound_51_uff_E=434.15_uff_E=434.06,-9.1,0,0
pre_3k60_pfhsp90_Compound_150_uff_E=1347.46_uff_E=1347.26,-9,0,0
pre_3k60_pfhsp90_Compound_250_uff_E=358.28_uff_E=357.60,-9,0,0
pre_3k60_pfhsp90_Compound_321_uff_E=532.08_uff_E=456.48,-9,0,0
pre_3k60_pfhsp90_Compound_348_uff_E=1383.67_uff_E=439.80,-9,0,0
pre_3k60_pfhsp90_Compound_241_uff_E=819.56_uff_E=819.35,-8.9,0,0
pre_3k60_pfhsp90_Compound_304_uff_E=370.96_uff_E=349.00,-8.9,0,0
pre_3k60_pfhsp90_Compound_89_uff_E=353.24_uff_E=331.78,-8.9,0,0
pre_3k60_pfhsp90_Compound_227_uff_E=254.18_uff_E=240.72,-8.8,0,0
pre_3k60_pfhsp90_Compound_254_uff_E=521.47_uff_E=475.94,-8.8,0,0
pre_3k60_pfhsp90_Compound_365_uff_E=503.30_uff_E=491.21,-8.8,0,0
pre_3k60_pfhsp90_Compound_391_uff_E=503.32_uff_E=494.72,-8.8,0,0
pre_3k60_pfhsp90_Compound_102_uff_E=251.75_uff_E=235.07,-8.7,0,0
pre_3k60_pfhsp90_Compound_11_uff_E=329.62_uff_E=329.57,-8.7,0,0
pre_3k60_pfhsp90_Compound_208_uff_E=642.04_uff_E=637.39,-8.7,0,0
pre_3k60_pfhsp90_Compound_294_uff_E=623.17_uff_E=592.73,-8.7,0,0
pre_3k60_pfhsp90_Compound_4_uff_E=1557.68_uff_E=1442.13,-8.7,0,0
pre_3k60_pfhsp90_Compound_140_uff_E=640.24_uff_E=640.15,-8.6,0,0
pre_3k60_pfhsp90_Compound_194_uff_E=466.90_uff_E=450.84,-8.6,0,0
pre_3k60_pfhsp90_Compound_29_uff_E=334.87_uff_E=334.64,-8.6,0,0
