Ligand,Binding Affinity,rmsd/ub, rmsd/lb
pre_1lf3_plasmepsin2_Compound_307_uff_E=524.16_uff_E=504.96,-10,0,0
pre_1lf3_plasmepsin2_Compound_101_uff_E=668.88_uff_E=668.79,-10,0,0
pre_1lf3_plasmepsin2_Compound_270_uff_E=729.48_uff_E=729.28,-9.7,0,0
pre_1lf3_plasmepsin2_Compound_388_uff_E=549.87_uff_E=542.70,-9.6,0,0
pre_1lf3_plasmepsin2_Compound_61_uff_E=1136.85_uff_E=1134.13,-9.5,0,0
pre_1lf3_plasmepsin2_Compound_347_uff_E=606.46_uff_E=606.37,-9.5,0,0
pre_1lf3_plasmepsin2_Compound_284_uff_E=262.76_uff_E=255.28,-9.5,0,0
pre_1lf3_plasmepsin2_Compound_279_uff_E=1114.29_uff_E=1008.29,-9.5,0,0
pre_1lf3_plasmepsin2_Compound_131_uff_E=398.41_uff_E=354.34,-9.5,0,0
pre_1lf3_plasmepsin2_obj01_uff_E=968.45,-9.4,0,0
pre_1lf3_plasmepsin2_Compound_86_uff_E=703.24_uff_E=703.02,-9.4,0,0
pre_1lf3_plasmepsin2_Compound_117_uff_E=582.86_uff_E=581.02,-9.4,0,0
pre_1lf3_plasmepsin2_Compound_373_uff_E=240.66_uff_E=240.58,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_291_uff_E=593.08_uff_E=585.99,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_264_uff_E=1071.71_uff_E=1060.96,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_187_uff_E=512.52_uff_E=497.57,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_174_uff_E=604.48_uff_E=604.16,-9.3,0,0
pre_1lf3_plasmepsin2_Compound_66_uff_E=735.86_uff_E=735.66,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_340_uff_E=1817.48_uff_E=1817.48,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_309_uff_E=562.48_uff_E=562.25,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_226_uff_E=466.90_uff_E=450.84,-9.2,0,0
pre_1lf3_plasmepsin2_Compound_95_uff_E=471.81_uff_E=471.39,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_85_uff_E=816.43_uff_E=816.03,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_60_uff_E=477.18_uff_E=476.65,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_346_uff_E=485.94_uff_E=485.84,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_265_uff_E=458.19_uff_E=457.93,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_24_uff_E=1430.75_uff_E=1424.07,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_194_uff_E=434.52_uff_E=434.47,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_19_uff_E=414.16_uff_E=404.28,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_154_uff_E=203.72_uff_E=202.56,-9.1,0,0
pre_1lf3_plasmepsin2_Compound_88_uff_E=745.35_uff_E=745.14,-9,0,0
pre_1lf3_plasmepsin2_Compound_298_uff_E=809.33_uff_E=797.20,-9,0,0
pre_1lf3_plasmepsin2_Compound_258_uff_E=850.39_uff_E=850.30,-9,0,0
